track_id,song,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,party
6cbqh8woSu03Vj8s1PCK9C,Step Up,0.116,0.895,0.752,0.0,0.14,-3.935,0.113,0.773,81.491,0
41Z1gnggllzvu7qOWTaSTE,Let Me Down Easy,0.049,0.743,0.443,1.25e-05,0.131,-11.808,0.0878,0.467,84.159,0
2Vwx10t3ywlvUp2arq8AYF,Substitute Lover,0.011,0.797,0.274,0.0,0.118,-14.849,0.157,0.661,166.572,0
5SBq56S9xKJoH4KyBBr1Oq,Fisherman,0.149,0.599,0.72,2.54e-06,0.111,-6.109,0.128,0.44,167.61,0
0qb0IWHeAUSzAINvtg853t,Sometimes,0.228,0.73,0.404,0.000389,0.251,-9.03,0.0371,0.734,120.907,0
5Z43HlxRIrmWZaNcjtdA23,Crystal Blue Persuasion,0.044,0.775,0.357,0.613,0.109,-11.522,0.0446,0.855,95.129,0
69g57LJ8SXCfKZCty55RIr,Better Must Come,0.00356,0.672,0.589,8.11e-05,0.309,-7.011,0.104,0.928,73.489,0
70idjVtmzhvE1tXgHYEF2y,World-A-Reggae,0.0105,0.863,0.457,0.000774,0.0978,-11.445,0.0601,0.382,73.724,0
0t1uStHetivmybat71m0Lv,My Master's Will,0.153,0.857,0.537,0.0,0.101,-7.392,0.242,0.737,143.757,0
6EmP97fPXI3aiHnrsHuj08,Rat Race,0.067,0.704,0.38,2.96e-06,0.0765,-12.16,0.423,0.711,76.298,0
7yykblpHIimpbH0dkqCOvk,All My Life,0.0612,0.589,0.733,0.0,0.404,-7.545,0.0736,0.894,172.01,0
2XsW8N3mMRD5blv4KGNHq6,Police & Thieves,0.0597,0.932,0.359,0.0,0.136,-12.958,0.0944,0.906,127.153,0
0INtJm8gCJKtNaAYQNVlpZ,"You Don't Love Me (No, No, No) - Extended Mix",0.0122,0.811,0.428,0.317,0.344,-10.728,0.221,0.653,80.962,0
7cKLOenzViwzoHJWciMIrj,Bam Bam,0.825,0.722,0.605,0.0178,0.248,-6.07,0.153,0.709,165.998,0
6W5Y6TSovS7gxOy6CfB9eA,Crawshay,0.107,0.851,0.606,0.293,0.08,-9.982,0.0412,0.658,119.234,0
5dvG16Ma80h9FZ1sQq5Sb1,Lost Mi Love,0.0516,0.841,0.669,0.0,0.163,-7.536,0.106,0.919,147.992,0
4MM4UlT0j7MePs9bMoi34N,Good Thing Going,0.645,0.671,0.519,0.000368,0.31,-11.165,0.0376,0.939,77.532,0
3deD281jC8xqlGcleE72XV,Disco Devil,0.0785,0.682,0.726,0.000336,0.386,-8.754,0.261,0.515,77.865,0
5HjXHLruir1Av0gpuiwVmq,Catchin' The Vibe,0.133,0.904,0.557,0.00261,0.0926,-6.717,0.34,0.819,90.844,0
5KYdwJCvwGsAeTwUJn8ZIe,Blackman's Word (Black Man's Pride),0.294,0.727,0.443,0.000316,0.169,-8.943,0.086,0.709,108.502,0
5zKlKlmfKl5xnALE2ZskEB,All My Loving,0.974,0.771,0.439,0.000452,0.13,-5.835,0.1,0.892,157.436,0
5EVhXp775ZZT1xKDoSlI24,Peace and Love Dub,0.0755,0.68,0.498,0.893,0.0739,-10.564,0.103,0.291,134.058,0
0dO79bdqpF4yl3Hpms8Eu7,Cool and Calm,0.127,0.795,0.415,8.76e-06,0.0669,-10.466,0.153,0.821,76.28,0
26ZdLX5Rq9J5lsd7OhHhg5,Sky Larking,0.392,0.818,0.459,1.15e-05,0.0489,-11.172,0.19,0.726,78.469,0
6NGG8iCu1yJoxfNDP8xvZg,La La Means I Love You,0.0762,0.874,0.423,0.000232,0.0636,-10.63,0.166,0.61,88.678,0
0HBEM5CMp4Yg3Ne7orJzBX,Who Knows,0.0909,0.683,0.724,0.0,0.339,-4.436,0.0988,0.742,80.932,0
2jY0mLoLNI9PtbD2rQbdwn,Supanova,0.0388,0.813,0.558,9.55e-05,0.0721,-8.65,0.0505,0.538,96.203,0
3fuXNQ0yLJYgXUr3HMb3AZ,Dance Inna Babylon,0.071,0.844,0.748,0.0,0.242,-5.88,0.08,0.906,143.977,0
7ERRjAcL8i6vdKkaRGDdQc,Sinsemilla,0.0176,0.846,0.564,0.026,0.0713,-10.915,0.0981,0.708,131.25,0
4VsGKABwzD4SlPsVXhIgSE,Stay So,0.181,0.859,0.623,0.000259,0.165,-5.339,0.061,0.807,101.978,0
2FbRqjElIz5z5Dc69DoBS9,Young Lover,0.0112,0.832,0.617,3.81e-05,0.0857,-7.039,0.12,0.505,166.361,0
