track_id,song,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,party
34xlXbZ4Ws3GGpUKeimDu5,Both Sides (feat. Lil Baby),0.0084,0.844,0.616,0,0.121,-5.2,0.161,0.188,160.024,1
3cFHCXuBZKMJd8Q4Wt8RB3,Harlem Shake (feat. Young Thug),7.68e-05,0.864,0.689,0.000467,0.111,-7.273,0.22,0.412,152.946,1
5nayhWICkQGMTkisxVMbRw,FlatBed Freestyle,0.0967,0.755,0.552,0,0.158,-5.604,0.288,0.402,153.157,1
1w9a84nSrTyjNjYviMYvJh,Permanent,0.0363,0.885,0.54,0,0.338,-8.559,0.242,0.865,140.018,1
6mtjo5kIHKlboGE84lf1FJ,Need It,0.0313,0.852,0.745,0,0.0824,-3.667,0.171,0.897,148.007,1
5kKbhyyPwflkFJtsSUeDl9,Call Me Up,0.00307,0.659,0.884,0.000212,0.0392,-5.523,0.0418,0.585,124.996,1
5H1tp2k7Ck2KPBE8t4zOO1,Still Love You,0.0187,0.721,0.854,0.369,0.252,-6.74,0.0392,0.104,124.019,1
2tQwDLQiq736lEaSUHtw3x,Make Your Move - Joe Stone Edit,0.0343,0.601,0.869,0,0.491,-5.612,0.302,0.587,124.788,1
5STtg0bZXSoWfF20qWGxeV,Off The Grid,0.0549,0.734,0.899,3.9e-05,0.108,-4.442,0.0669,0.52,124.035,1
3AysLPV09keThL2hBsewcU,You Can't Do Better,0.0659,0.753,0.792,3.28e-05,0.148,-5.064,0.159,0.621,124.004,1
3nVfALjhwWBuB5XTXuSOD6,I Think That I Like You,0.0479,0.703,0.91,1.34e-06,0.0563,-4.413,0.0721,0.539,122.968,1
31CPRR7qRGCI2Gv1rb6obZ,Hey Whatsup Hello,0.445,0.881,0.671,0,0.0998,-6.233,0.224,0.813,99.963,1
1ikseTbaNeeAm7y8jM4aqf,Cook It Up,0.143,0.758,0.852,0,0.267,-5.173,0.29,0.592,125.056,1
4pDfZ7sXw5qkZ8cMzq3QiD,"Thunder, Lightning, Nicotine",0.597,0.631,0.784,0,0.17,-7.279,0.264,0.851,91.166,1
6KV6XAOEMvaJKtronT3Fr5,Superhyphy,0.000311,0.946,0.693,0,0.0924,-7.271,0.241,0.6,102.999,1
2cTh4ErLi4DhtnPg0tTbQg,Sleepless,0.0122,0.514,0.638,0,0.361,-5.75,0.0272,0.161,97.009,1
2t5S2Ql4nfuLYuFC6eXoRM,Runnin,0.615,0.451,0.238,0,0.1,-15.94,0.256,0.147,89.964,1
0sf12qNH5qcw8qpgymFOqD,Blinding Lights,0.00147,0.513,0.796,0.000209,0.0938,-4.075,0.0629,0.345,171.017,1
2aPTvyE09vUCRwVvj0I8WK,Sundress,0.176,0.721,0.704,3.71e-06,0.143,-6.364,0.0606,0.735,125.004,1
6LcauUZjF1eXQrgqMUecHX,Ayy Macarena,0.133,0.816,0.63,0,0.0692,-5.568,0.226,0.715,96.493,1
6uquP1CWeYBcy1wkSQz5ja,Safety (feat. DJ Snake) - Dark Heart 2am Mix,0.0204,0.714,0.801,0.00615,0.334,-5.8,0.0301,0.292,124.015,1
5Uw7Dut2lZfexn3Y09swpf,Find U Again (feat. Camila Cabello),0.00548,0.605,0.664,3e-06,0.204,-7.162,0.0316,0.164,103.997,1
694vvR5o19xHPhhJ5QdLN7,NO HALO,0.41,0.643,0.573,0.00017,0.0695,-7.034,0.0709,0.47,165.192,1
6Kj17Afjo1OKJYpf5VzCeo,Pain 1993 (with Playboi Carti),0.163,0.825,0.373,0,0.368,-5.532,0.108,0.12,77.271,1
4Wjhj0WjkyECccfHVIgaTq,Trust Issues,0.779,0.421,0.539,0,0.111,-5.456,0.274,0.523,89.177,1
740kQ8xwSGloumdiKR5Cwz,Trillionaire (feat. Youngboy Never Broke Again),0.237,0.768,0.526,0,0.139,-7.182,0.209,0.473,139.999,1
4jMPZl0GrSFgbogJ0C6sNG,SKYBOX,0.132,0.78,0.635,0,0.1,-7.917,0.17,0.371,140.997,1
7GY3zgp2k4ZiRWpuDJn0hR,Cool J,0.00998,0.801,0.585,2.67e-06,0.112,-7.287,0.0343,0.532,99.996,1
0dWOFwdXrbBUYqD9DLsoyK,BLEACH,0.462,0.595,0.657,0.000597,0.437,-6.498,0.183,0.718,156.093,1
6wJYhPfqk3KGhHRG76WzOh,Blueberry Faygo,0.207,0.774,0.554,0,0.132,-7.909,0.0383,0.349,99.034,1
7AzlLxHn24DxjgQX73F9fU,No Idea,0.524,0.652,0.631,0.000579,0.165,-5.718,0.0893,0.35,127.998,1
7LptQZjp5wgdYDQZPjOV9O,1 Thot 2 Thot Red Thot Blue Thot,0.148,0.79,0.768,0.000947,0.126,-5.638,0.284,0.691,80.029,1
6B2RbPOuwAKtxNAnIKY63A,24,0.156,0.735,0.794,0,0.11,-3.434,0.193,0.46,147.98,1
4KppkflX7I3vJQk7urOJaS,Skechers (feat. Tyga) - Remix,0.173,0.875,0.443,3.24e-05,0.0891,-7.461,0.143,0.306,100.012,1
6HeCk6yewXH7WO4D93eub9,Ruthless (Nice Guys Always Finish Last),0.388,0.724,0.269,0,0.0808,-15.465,0.0456,0.866,86.042,1
